title,year,genre,duration
Somewhere Tomorrow,1983,Drama,91
I sopravvissuti della città morta,1984,Action,98
La spada e la magia,1982,Action,83
Sotto il vestito niente,1985,Mystery,93
Space Raiders,1983,Action,84
Il cacciatore dello spazio,1983,Action,90
Spasms,1983,Horror,90
Un'estate pazzesca,1983,Comedy,102
Star 80,1983,Biography,103
Condannato a morte per mancanza di indizi,1983,Crime,109
State buoni se potete,1983,Comedy,115
Staying Alive,1983,Drama,93
De stilte rond Christine M.,1982,Drama,92
Storia di Piera,1983,Biography,107
La strana voglia,1983,Comedy,90
Strange Invaders,1983,Horror,94
Streamers,1983,Crime,118
Stroker Ace,1983,Action,96
Stryker,1983,Action,86
Coraggio... fatti ammazzare,1983,Action,117
Sunshine reggae a Ibiza isola arraposa,1983,Comedy,86
Superman III,1983,Action,125
Die Supernasen,1983,Comedy,88
Come ti ammazzo un killer,1983,Comedy,103
Daniel prende il treno,1983,Comedy,87
Tavolo per cinque,1983,Drama,122
Tayna chyornykh drozdov,1983,Crime,97
Taking Tiger Mountain,1983,Sci-Fi,81
Storie di ordinaria follia,1981,Drama,101
Il tassinaro,1983,Comedy,137
Tchao pantin,1983,Crime,100
Te rongyos élet,1984,Comedy,108
Un tenero ringraziamento,1983,Drama,92
Voglia di tenerezza,1983,Comedy,132
El tesoro de la diosa blanca,1983,Action,83
Testament,1983,Drama,90
Thunder,1983,Action,86
Il tifoso l'arbitro e il calciatore,1982,Comedy,93
Tempo di morire,1982,Crime,91
Timerider - Una moto contro il muro del tempo,1982,Action,94
Un'ape millenaria,1983,Comedy,162
To All a Goodnight,1980,Horror,87
Essere o non essere,1983,Comedy,107
The Little Girl Who Conquered Time,1983,Romance,104
Tornado,1983,Action,90
Il duro più duro,1983,Action,106
Patsany,1983,Crime,96
Una poltrona per due,1983,Comedy,116
O Trapalhão na Arca de Noé,1983,Family,91
Giallo a Malta,1983,Comedy,91
The Three Veterans,1984,Adventure,96
Tricheurs,1984,Drama,94
Truhanes,1983,Comedy,100
Tu mi turbi,1983,Comedy,96
Tuareg - Il guerriero del deserto,1984,Adventure,95
Oasis of the Zombies,1982,Horror,82
Två killar och en tjej,1983,Comedy,111
Twice Upon a Time,1983,Animation,74
Twilight Time,1982,Drama,102
Ai confini della realtà,1983,Horror,101
Due come noi,1983,Comedy,88
Il massacro dei Maori,1983,Adventure,118
De uanstændige,1983,Comedy,92
Un jeu brutal,1983,Drama,90
Fratelli nella notte,1983,Action,105
Sotto tiro,1983,Drama,128
Uniko: Mahô no shima e,1983,Animation,91
Lamù - Only You,1983,Animation,101
Uuno Turhapuron muisti palailee pätkittäin,1983,Comedy,90
La ragazza di San Diego,1983,Comedy,99
Vassa,1983,Drama,140
Veliki transport,1983,Action,134
Videodrome,1983,Horror,87
La vita è un romanzo,1983,Comedy,110
Il quarto uomo,1983,Drama,102
La villa dei pirati,1983,Adventure,111
Razza violenta,1984,Action,91
Finalmente domenica!,1983,Comedy,110
Il campo del lino,1983,Drama,85
Vlyublyon po sobstvennomu zhelaniyu,1982,Comedy,89
Les voleurs de la nuit,1984,Crime,98
Voenno-polevoy roman,1983,Drama,92
Walking the Edge,1985,Action,93
Wargames - Giochi di guerra,1983,Action,114
Wavelength,1983,Sci-Fi,87
C'è qualcosa di strano in famiglia,1984,Comedy,82
White Star,1983,Drama,92
L'avventuriera perversa,1983,Adventure,98
Wilczyca,1983,Horror,98
The Wild Duck - L'anatra selvatica,1984,Drama,95
Suburbia,1983,Drama,94
Senza traccia,1983,Drama,120
Wo ai Ye Lai Xiang,1983,Action,102
Woh 7 Din,1983,Drama,139
Winners and sinners,1983,Action,108
Wu Lang ba gua gun,1984,Action,98
Wu lin sheng huo jin,1983,Adventure,85
Xtro attacco alla Terra,1982,Horror,81
Yam yeung choh,1983,Drama,98
Un anno vissuto pericolosamente,1982,Drama,115
Yentl,1983,Drama,133
Yin yang xie di zi,1977,Action,88
I vendicatori della notte,1983,Action,105
Zadah tela,1983,Drama,99
Zai na he pan qing cao qing,1982,Drama,91
Zeder,1983,Horror,98
Zelig,1983,Comedy,79
Zhong gui,1983,Crime,88
Zig Zag Story,1983,Comedy,100
Zui jia pai dang 2: Da xian shen tong,1983,Action,100
Ai nostri amori,1983,Drama,99
Åpen framtid,1983,Drama,118
Equator - L'amante sconosciuta,1983,Crime,85
L'estate assassina,1983,Drama,133
...a zase ta Lucie!,1984,Comedy,82
2010 - L'anno del contatto,1984,Adventure,116
A tu per tu,1984,Comedy,102
Out of order - Fuori servizio,1984,Thriller,90
Access Code - codice d'accesso,1984,Action,88
Acqua e sapone,1983,Comedy,109
Conto finale,1984,Thriller,85
Le avventure di Buckaroo Banzai nella quarta dimensione,1984,Adventure,103
Due vite in gioco,1984,Action,128
Akademia pana Kleksa,1984,Family,166
Akelarre,1984,Drama,102
Al este del oeste,1984,Comedy,85
L'alcova,1985,Drama,86
Terrore ad Amityville Park,1977,Horror,78
Ho sposato un fantasma,1984,Comedy,93
L'allenatore nel pallone,1984,Comedy,98
Una coppia quasi perfetta,1985,Comedy,96
Alphabet City,1984,Crime,85
Amadeus,1984,Biography,160
Amarsi un po'...,1984,Comedy,93
I guerrieri del vento,1984,Action,97
American Dreamer,1984,Comedy,105
L'amore in pezzi,1984,Comedy,125
L'amour à mort,1984,Drama,92
Angel killer,1984,Action,94
La Medusa,1984,Drama,110
Another Country - La scelta,1984,Biography,90
L'arbalète,1984,Action,90
1997: il principio dell'arca di Noè,1984,Sci-Fi,100
Asesinato en el senado de la nación,1984,Crime,105
L'attenzione,1985,Drama,87
La gang dei seduttori colpisce ancora,1983,Comedy,85
Bachelor Party (Addio al celibato),1984,Comedy,105
Bad Girls Dormitory,1986,Action,95
I figli delle mille e una notte,1984,Drama,95
Balkanski spijun,1984,Comedy,95
Il ragazzo della baia,1984,Drama,107
The Bear,1984,Biography,110
Beat Street,1984,Drama,105
Gli occhi indiscreti di uno sconosciuto,1984,Comedy,90
Yuen fan,1984,Comedy,90
Bertoldo Bertoldino e Cacasenno,1984,Comedy,121
La miglior difesa è... la fuga,1984,Comedy,94
Beverly Hills Cop - Un piedipiatti a Beverly Hills,1984,Action,105
Senza fine,1985,Drama,107
Le big-Bang,1987,Animation,76
Biohazard,1985,Horror,84
Birdy - Le ali della libertà,1984,Drama,120
The Black Room,1982,Horror,88
Ator 2: L'invincibile Orion,1982,Action,92
Quel giorno a Rio,1984,Comedy,100
Blame It on the Night,1984,Comedy,85
Bless Their Little Hearts,1983,Drama,80
Blind Date,1984,Horror,103
Blood Simple - Sangue facile,1984,Crime,99
Transformer,1984,Comedy,79
Bloodbath at the House of Death,1984,Horror,92
Omicidio a luci rosse,1984,Crime,114
Body Rock,1984,Drama,93
Bolero extasy,1984,Comedy,105
Scandalo a palazzo,1984,Drama,108
Dagobert,1984,Comedy,112
I bostoniani,1984,Drama,122
Il Bounty,1984,Adventure,132
Boy Meets Girl,1984,Drama,100
Breakdance,1984,Comedy,90
Breakdance 2,1984,Comedy,94
Il nido dell'aquila,1984,Drama,95
Brigade des moeurs,1985,Crime,96
Broadway Danny Rose,1984,Comedy,84
Fratello di un altro pianeta,1984,Comedy,108
Cercasi papà,1984,Drama,110
Der Bulle & das Mädchen,1985,Action,89
Busters verden,1984,Comedy,91
C.H.U.D.,1984,Horror,88
Caged Fury,1983,Crime,89
Cal,1984,Drama,102
Calamari Union,1985,Comedy,81
Roma. L'antica chiave dei sensi,1984,Drama,84
Camilla - Un amore proibito,1984,Drama,107
La corsa più pazza d'America n. 2,1984,Action,108
Carmen,1984,Drama,152
Cento giorni a Palermo,1984,Crime,102
Chattanooga Choo Choo,1984,Comedy,102
Cheech & Chong's The Corsican Brothers,1984,Comedy,82
Chelovek-nevidimka,1984,Sci-Fi,89
Los chicos de la guerra,1984,Drama,105
Grano rosso sangue,1984,Horror,92
Choose me - Prendimi,1984,Comedy,106
Ciske - Storia di un bambino,1984,Crime,180
Per piacere... non salvarmi più la vita,1984,Action,93
La finestra sul delitto,1984,Action,101
Co je vám doktore?,1985,Comedy,79
Arcobaleno selvaggio,1984,Action,101
Comfort and Joy,1984,Comedy,106
In compagnia dei lupi,1984,Drama,95
Conan il distruttore,1984,Action,103
The Coolangatta Gold,1984,Drama,112
Così parlò Bellavista,1984,Comedy,105
Cotton Club,1984,Crime,127
Country,1984,Drama,105
Courage,1984,Thriller,90
Crackers,1984,Adventure,91
China Blue,1984,Drama,107
Crónica dos Bons Malandros,1984,Comedy,82
Daheim sterben die Leut',1985,Comedy,109
Darse cuenta,1984,Drama,106
Davitelj protiv davitelja,1984,Comedy,93
Deathstalker,1983,Adventure,80
Decoder,1984,Horror,87
DEFCON-4,1985,Action,88
Tre matti in un collegio femminile,1975,Comedy,89
Delitto al Blue Gay,1984,Drama,96
Servizio... a domicilio,1985,Comedy,91
Dang doi lai ming,1984,Action,100
Golok Setan,1984,Adventure,90
Mosse pericolose,1984,Drama,110
Dian tang lang,1980,Action,89
Didi - Der Doppelgänger,1984,Comedy,96
Didi und die Rache der Enterbten,1985,Comedy,91
Dim Sum: A Little Bit of Heart,1985,Comedy,88
Dong dong de jiàqi,1984,Drama,93
Dreamscape - Fuga nell'incubo,1984,Action,99
I due carabinieri,1984,Comedy,120
Dune,1984,Action,137
E la nave va,1983,Drama,132
Electric Dreams,1984,Comedy,95
Ellie,1984,Comedy,88
Gurikku no bouken,1981,Animation,90
Les enfants,1985,Comedy,84
Enrico IV,1984,Drama,85
Professione giustiziere,1984,Action,90
Dominator,1984,Action,89
Il gioco del falco,1985,Biography,131
Innamorarsi,1984,Drama,106
Fanny Hill,1983,Comedy,98
Passione violenta,1984,Crime,100
Giochi fatali,1984,Horror,88
I favoriti della luna,1984,Comedy,101
Paura su Manhattan,1984,Crime,95
Femme publique,1984,Drama,113
Final Justice,1985,Action,90
Il treno più pazzo del mondo,1984,Comedy,96
Fenomeni paranormali incontrollabili,1984,Action,114
Firstborn,1984,Drama,103
Flamingo Kid,1984,Comedy,100
Flashpoint,1984,Action,93
Fleshburn,1984,Thriller,90
Footloose,1984,Drama,107
L'elemento del crimine,1984,Crime,104
Un'ombra nel buio,1976,Horror,88
Fort Saganne,1984,Drama,180
Lady Libertine,1984,Drama,83
Frankenstein 90,1984,Comedy,92
Frankenstein's Great Aunt Tillie,1984,Comedy,100
Frida naturaleza viva,1983,Biography,108
Venerdì 13 - Capitolo finale,1984,Horror,91
Fu rong zhen,1987,Drama,164
Rage - Fuoco incrociato,1984,Action,91
Il futuro è donna,1984,Drama,99
La Garbo dice,1984,Comedy,103
La garce,1984,Thriller,89
Le garde du corps,1984,Comedy,100
Gebroken spiegels,1984,Drama,108
La casa e il mondo,1984,Drama,140
Ghostbusters (Acchiappafantasmi),1984,Action,105
Gimme an 'F',1984,Comedy,101
Girls Nite Out,1982,Horror,96
Broad Street,1984,Drama,108
Godzilla 1985,1985,Action,82
Le montagne blu,1983,Comedy,97
Goma-2,1984,Action,98
Agenzia omicidi,1984,Comedy,87
Bulldozer,1984,Drama,97
Gremlins,1984,Comedy,106
Greystoke - La leggenda di Tarzan il signore delle scimmie,1984,Adventure,143
Con le buone maniere si ottiene tutto,1984,Comedy,85
Il cane che fermò la guerra,1984,Comedy,92
Trappola per un killer,1989,Crime,92
Gwen le livre de sable,1985,Animation,67
Gyakufunsha kazoku,1984,Comedy,106
Hambone and Hillie,1983,Comedy,90
Una rockstar in cerca d'amore,1984,Drama,93
Hardbodies,1984,Comedy,88
Harry & Son,1984,Drama,120
Hasta cierto punto,1983,Drama,68
Der Havarist,1984,Drama,100
Una storia a Los Angeles,1984,Drama,98
Heavenly Bodies,1984,Drama,89
Hell Riders,1984,Action,90
Histoire d'O 2 - Ritorno a Roissy,1984,Drama,108
Holi,1985,Comedy,120
Violenza a Hollywood,1984,Comedy,103
Hot dog,1984,Comedy,96
Hotel New Hampshire,1984,Comedy,109
The House of God,1984,Comedy,108
La casa del tappeto giallo,1983,Drama,89
La vendetta dei barbari,1984,Action,109
Huang tu di,1984,Drama,86
Hundra l'ultima amazzone,1983,Adventure,90
I pirati dello spazio,1984,Action,91
L'uomo dei ghiacci,1984,Drama,100
Il giardino delle illusioni,1983,Comedy,90
Impatto mortale,1984,Action,80
Impiegati,1985,Comedy,98
Impulse,1984,Horror,91
Indiana Jones e il tempio maledetto,1984,Action,118
The Initiation (L'incubo),1984,Horror,97
Inocência,1983,Drama,118
Inquilaab,1984,Action,152
Interface,1984,Comedy,88
The Astral Factor,1978,Sci-Fi,85
Non c'è due senza quattro,1984,Action,99
Vertenza inconciliabile,1984,Comedy,113
István a király,1984,Drama,100
Jak básníci pricházejí o iluze,1985,Comedy,98
Pericolosamente Johnny,1984,Comedy,90
Non toccate le ragazze,1984,Comedy,93
The Twin,1984,Comedy,104
Euer Weg führt durch die Hölle,1984,Action,93
Così come eravamo,1984,Comedy,94
Jönssonligan får guldfeber,1984,Comedy,101
Hoi sam gwai,1984,Comedy,96
Kamalolmolk,1984,Biography,122
Kaos,1984,Comedy,187
The Karate Kid - Per vincere domani,1984,Action,126
Katy apprendista farfalla,1984,Animation,86
Nausicaä della valle del vento,1984,Animation,117
Kazoku gêmu,1983,Comedy,107
Kidco,1984,Comedy,105
Urla del silenzio,1984,Biography,141
L'ora che uccide,1982,Horror,97
Difficile caso per il tenente Long,1984,Action,80
Klaani: Tarina Sammakoitten suvusta,1984,Crime,120
Rapporti di classe,1984,Drama,126
Kono ko wo nokoshite,1983,Drama,128
Kun Hunttalan Matti Suomen osti,1984,Comedy,81
Il mistero del conte Lobos,1984,Action,108
Král Drozdia Brada,1984,Comedy,90
Lassiter lo scassinatore,1984,Action,100
The Last Horror Film,1982,Comedy,87
L'ultimo cacciatore,1980,Action,95
Giochi stellari,1984,Action,101
Il giorno delle oche,1984,Comedy,89
La leggenda della fortezza di Suram,1985,Drama,88
La leggenda del rubino malese,1985,Action,95
Lentävät luupäät,1984,Comedy,84
Monster dog - Il signore dei cani,1984,Horror,84
L'ascensore,1983,Horror,95
Hung kuen dai see,1984,Action,85
Ling hei bik yan,1984,Comedy,96
Liste noire,1984,Action,83
La tamburina,1984,Thriller,130
Anime gemelle,1984,Comedy,90
Passione ambigua,1984,Drama,82
Love Streams - Scia d'amore,1984,Drama,141
Lovelines,1984,Comedy,93
Lyubov i golubi,1985,Comedy,107
Lucie postrach ulice,1984,Family,74
O Lugar do Morto,1984,Drama,120
Lui è peggio di me,1985,Comedy,108
Macho Man,1985,Action,85
Macross - Il film,1984,Animation,114
American Yuppies,1984,Comedy,105
Mala pljacka vlaka,1984,Comedy,103
Mama Mia - Nur keine Panik,1984,Comedy,94
Mannen från Mallorca,1984,Action,106
Manzil Manzil,1984,Family,162
Mao tou ying yu xiao fei xiang,1984,Action,99
L'amico sfigato,1984,Comedy,90
Maria's Lovers,1984,Drama,109
Mario,1984,Drama,98
L'avventura di Martin,1985,Drama,98
Mass Appeal,1984,Drama,99
Il bunker del terrore,1984,Drama,90
Oltre le sbarre,1984,Drama,103
Meatballs 2: porcelloni in vacanza,1984,Comedy,87
Melvin: Son of Alvin,1984,Comedy,85
Memed My Hawk,1984,Drama,110
Memórias do Cárcere,1984,Drama,185
'Men Olsenbanden var ikke død!',1984,Comedy,89
Mesrine,1984,Biography,110
Mi manda Picone,1984,Comedy,122
Micki e Maude,1984,Comedy,118
Midt om natten,1984,Drama,131
Mike's Murder,1984,Drama,109
Mil sexos tiene la noche,1984,Horror,92
Rombo di tuono,1984,Action,101
L'ultimo sole d'estate,1984,Drama,91
S certy nejsou zerty,1985,Adventure,95
Mohan Joshi Hazir Ho!,1984,Drama,130
Monaco Forever,1984,Comedy,48
Moord in Extase,1984,Crime,99
Les morfalous,1984,Action,95
Obitorio,1983,Horror,91
Mosca a New York,1984,Comedy,115
Fuga d'inverno,1984,Drama,110
I Muppet alla conquista di Broadway,1984,Adventure,94
Murderock - Uccide a passo di danza,1984,Mystery,93
My Brother's Wedding,1983,Drama,115
My First Wife,1984,Drama,96
A faccia nuda,1984,Action,105
Les nanas,1985,Comedy,88
Il migliore,1984,Drama,138
Nemo,1984,Adventure,97
New York Nights,1984,Drama,103
The Next One,1984,Drama,105
Next of Kin,1984,Comedy,70
Pattuglia di notte,1984,Comedy,85
Mutant,1984,Horror,99
Night Train to Terror,1985,Horror,98
La notte della cometa,1984,Comedy,95
Nightmare - Dal profondo della notte,1984,Horror,91
Orwell 1984,1984,Drama,113
Trancers,1984,Action,92
The Ninja Mission,1984,Action,93
Una cotta importante,1984,Comedy,102
La noche más hermosa,1984,Drama,90
Non ci resta che piangere,1984,Comedy,113
Corruzione a New York,1984,Comedy,88
Niente dura per sempre,1984,Comedy,82
Notre histoire,1984,Drama,110
Le notti della luna piena,1984,Comedy,101
O pokojniku sve najlepse,1984,Comedy,95
Octavia,1982,Drama,93
Odd Jobs,1986,Comedy,88
Oddballs,1984,Comedy,91
Oh God! You Devil,1984,Comedy,97
Old Enough,1984,Drama,92
C'era una volta in America,1984,Crime,229
One Night Stand,1984,Comedy,94
Prova d'innocenza,1984,Mystery,90
Öszi almanach,1984,Drama,119
Oltre il ponte di Brooklyn,1984,Comedy,108
Oxford University,1984,Comedy,97
Paar,1984,Drama,141
Scandalo borghese,1985,Drama,105
Parad planet,1984,Drama,97
Paradise Motel,1985,Comedy,89
Paris Texas,1984,Drama,145
Amore e musica,1984,Drama,109
Paroma,1985,Drama,139
Tornare per rivivere,1985,Drama,114
Party Animal,1984,Comedy,78
Passaggio in India,1984,Adventure,164
Maturanti (Pazi sta radis),1984,Comedy,105
Pejzazi u magli,1984,Drama,114
Mutamenti del destino,1987,Drama,109
Vicolo cieco,1984,Crime,91
Gwendoline,1984,Action,105
Phenomena,1985,Horror,116
Philadelphia Experiment,1984,Adventure,102
El pico 2,1984,Drama,120
Pinot agente semplice,1984,Comedy,85
La pirate,1984,Drama,88
Le stagioni del cuore,1984,Drama,111
I Go Pogo,1980,Animation,86
Polar,1984,Crime,97
Scuola di polizia,1984,Comedy,96
Il 'papa' di Greenwich Village,1984,Action,121
Prime Risk,1985,Crime,98
Senza inibizioni,1986,Comedy,80
Prison Ship,1986,Action,86
Protocol,1984,Comedy,96
Dimensione inferno,1984,Drama,116
Purple Rain,1984,Drama,111
Pyar Jhukta Nahin,1985,Family,135
Qing cheng zhi lian,1984,Drama,93
La notte porta consiglio,1982,Comedy,90
Questo e quello,1983,Comedy,119
In gara con la luna,1984,Comedy,108
Il ragazzo di campagna,1984,Comedy,92
Il filo del rasoio,1984,Drama,128
Razorback: oltre l'urlo del demonio,1984,Horror,95
Amare con rabbia,1984,Comedy,90
Alba rossa,1984,Action,114
The Red Fury,1984,Drama,105
Ren xia gui,1984,Comedy,93
Repo Man - Il recuperatore,1984,Action,92
The Deadly Spawn,1983,Horror,81
La rivincita dei nerds,1984,Comedy,90
Nick lo scatenato,1984,Comedy,111
Il commissadro,1984,Comedy,107
Il desiderio e la corruzione,1984,Drama,99
Topo di fiume,1984,Adventure,93
Il fiume dell'ira,1984,Drama,124
La notte assassina,1984,Action,90
L'anno del sole quieto,1984,Drama,110
All'inseguimento della pietra verde,1984,Action,106
Ronja Rövardotter,1984,Adventure,126
The Rosebud Beach Hotel,1984,Comedy,83
Rozpustený a vypustený,1985,Comedy,85
Rumburak,1985,Comedy,90
Runaway,1984,Action,99
24 ore per non morire,1984,Crime,95
Oltre il confine,1984,Drama,103
SF Shinseiki Lensman,1984,Animation,107
Saaransh,1984,Drama,137
Sam's Son,1984,Drama,104
Los santos inocentes,1984,Drama,107
Saraba hakobune,1984,Fantasy,127
Savage Streets,1984,Action,93
Scandalous,1984,Comedy,92
Der Schneemann,1985,Adventure,106
De schorpioen,1984,Drama,98
La casa in Hell Street,1984,Horror,89
Screamplay,1985,Comedy,92
Secerna vodica,1983,Comedy,105
La vergine americana,1984,Adventure,101
The Secret Diary of Sigmund Freud,1984,Biography,90
Secret Honor,1984,Biography,90
Seksmisja,1984,Adventure,117
Serpiente de mar,1985,Adventure,92
Sesión continua,1984,Drama,115
As Sete Vampiras,1986,Comedy,100
Setouchi shonen yakyu dan,1984,Comedy,125
Shang Hai zhi yen,1984,Comedy,103
Sharaabi,1984,Comedy,180
Shark: Rosso nell'oceano,1984,Action,90
She'll Be Wearing Pink Pyjamas,1985,Comedy,86
Sheena regina della giungla,1984,Adventure,117
Shen yong shuang xiang pao,1984,Action,100
Sang gong kei bing,1984,Action,100
Battuta di caccia,1985,Drama,98
Silent Madness,1984,Horror,93
Natale di sangue,1984,Horror,79
Il mistero della tartaruga bianca,1984,Adventure,95
Si shui liu nian,1984,Drama,96
Sixteen Candles - Un compleanno da ricordare,1984,Comedy,93
La talpa,1984,Mystery,95
Comiche dell'altro mondo,1982,Comedy,82
Slayground,1983,Crime,89
La smala,1984,Comedy,90
Snowballing,1984,Comedy,96
Storia di un soldato,1984,Crime,101
Sonatine,1984,Drama,91
Successo alle stelle,1984,Drama,94
Sotto... sotto... strapazzato da anomala passione,1984,Comedy,105
Special Effects,1984,Drama,106
Splash - Una sirena a Manhattan,1984,Comedy,111
Il rock è femmina,1982,Comedy,86
Les spécialistes,1985,Adventure,94
Star Trek III - Alla ricerca di Spock,1984,Action,105
Starman,1984,Romance,115
Sta se zgodi kad se ljubav rodi,1984,Comedy,103
The Stone Boy,1984,Drama,91
Stranger Than Paradise - Più strano del paradiso,1984,Comedy,89
Baci per un amante sconosciuto,1983,Drama,94
Strangers in Paradise,1984,Comedy,84
Strade di fuoco,1984,Action,93
Prostituzione,1985,Action,82
Stuck on You!,1982,Comedy,88
Il successo è la miglior vendetta,1984,Drama,91
Un été à Saint-Tropez,1983,Drama,59
Supergirl - La ragazza d'acciaio,1984,Action,124
Vai col surf,1983,Comedy,91
Surfacing,1981,Adventure,89
The Surrogate,1984,Drama,100
Tempo di swing,1984,Drama,100
Taifû kurabu,1985,Drama,115
Tank,1984,Action,113
Le tartuffe,1984,Comedy,140
Tasio,1984,Drama,95
Viaggio a Citera,1984,Drama,120
Teachers,1984,Comedy,107
Terminator,1984,Action,107
Annie's Coming Out,1984,Drama,96
They're Playing with Fire,1984,Crime,96
Ladro di donne,1984,Drama,100
This Is Spinal Tap,1984,Comedy,82
Tie ban shao,1984,Comedy,89
Tie jia wu di Ma Li Ya,1988,Sci-Fi,96
Corda tesa,1984,Crime,114
A Time to Remember,1988,Drama,77
I timi tis agapis,1984,Drama,110
Top Secret!,1984,Comedy,90
Toy Soldiers,1984,Action,91
Tro håb og kærlighed,1984,Comedy,108
Les trottoirs de Bangkok,1984,Action,85
Tutti dentro,1984,Comedy,108
U raljama zivota,1984,Comedy,95
Un amore di Swann,1984,Drama,110
Una domenica in campagna,1984,Drama,90
Sotto il vulcano,1984,Drama,112
La storia infinita,1984,Adventure,102
Un'adorabile infedele,1984,Comedy,96
Until September,1984,Drama,95
Zattere pupe porcelloni e gommoni,1984,Comedy,96
Lamù: Beautiful Dreamer,1984,Animation,98
Utsav,1984,Drama,145
Uuno Turhapuro armeijan leivissä,1984,Comedy,102
Varljivo leto '68,1984,Comedy,91
La vengeance du serpent à plumes,1984,Adventure,105
Video Vixens!,1974,Comedy,83
Vita di famiglia,1985,Drama,95
Vigil,1984,Drama,90
Viva la vita,1984,Comedy,106
Vive les femmes!,1984,Comedy,87
Vivre pour survivre,1984,Action,101
Vojnici,1984,Comedy,105
Kain il mercenario,1984,Adventure,81
I predatori dell'anno omega,1984,Action,92
Adieu Bonaparte,1985,Drama,115
Weekend Pass,1984,Comedy,88
What Waits Below,1984,Action,88
Wheels of Fire,1985,Action,81
Dove stanno i ragazzi,1984,Comedy,94
Widziadlo,1984,Drama,90
The Wild Life,1984,Comedy,96
Windy City,1984,Drama,103
La signora in rosso,1984,Comedy,87
Siu Tai Gik,1984,Action,91
Yellow Hair and the Pecos Kid,1984,Adventure,102
Yön saalistajat,1984,Crime,92
I trampoli,1984,Drama,95
Zappa,1983,Comedy,103
Il testamento del dottor Dowell,1984,Drama,91
Zombie Island Massacre,1984,Horror,95
Zui jia pai dang 3: Nu huang mi ling,1984,Action,96
Zwei Nasen tanken Super,1984,Comedy,95
Che ho fatto io per meritare questo?,1984,Comedy,101
À mort l'arbitre!,1984,Thriller,82
À nous les garçons,1985,Comedy,102
Åke och hans värld,1984,Drama,99
1918,1985,Drama,94
Um Adeus Português,1986,Drama,85
The Adventures of Mark Twain,1985,Animation,86
After Darkness,1985,Drama,104
Fuori orario,1985,Comedy,97
Agnese di Dio,1985,Drama,98
Aitbaar,1985,Thriller,133
Alamo Bay,1985,Action,98
The Alchemist,1983,Horror,78
Alien Warrior,1986,Action,100
Always,1985,Drama,105
Curral de Mulheres,1982,Action,99
Nati per uccidere,1985,Action,88
American Drive-In,1985,Comedy,92
Il vincitore,1985,Drama,113
Guerriero americano,1985,Action,95
Amici miei - Atto III°,1985,Comedy,110
Amour braque - Amore balordo,1985,Comedy,101
L'amour en douce,1985,Comedy,100
The Angelic Conversation,1985,Drama,77
Der Angriff der Gegenwart auf die übrige Zeit,1985,Comedy,113
Banda senza legge,1985,Action,84
Il giardino indiano,1985,Drama,92
L'assassino è ancora tra noi,1986,Horror,83
Assisi Underground,1985,Drama,115
Asterix contro Cesare,1985,Animation,79
The Naked Monster,2005,Comedy,100
Attack of the Beast Creatures,1985,Horror,82
Angel killer II - La vendetta,1985,Action,93
Aviator - Amore tra le nuvole,1985,Adventure,96
Baby - Il segreto della leggenda perduta,1985,Family,95
Ritorno al futuro,1985,Adventure,116
Facoltà di medicina - Qui non si sana,1985,Comedy,98
A Parigi con amore...,1985,Drama,112
La regina dei barbari,1985,Adventure,72
Yeti - La leggenda continua,1984,Adventure,91
Militari su con la vita,1985,Comedy,88
A tutta birra,1985,Comedy,82
O Beijo No Asfalto,1981,Crime,80
The Beniker Gang,1984,Drama,87
Interno berlinese,1985,Drama,118
Sapore di hamburger,1985,Comedy,97
Il Bi e il Ba,1986,Comedy,90
Una donna una preda,1985,Comedy,90
Billy the Kid and the Green Baize Vampire,1987,Comedy,93
Bir avuç cennet,1985,Drama,97
L'arpa birmana,1985,Drama,133
Bittere Ernte,1985,Drama,105
Het bittere kruid,1985,Biography,89
Taron e la pentola magica,1985,Animation,80
Dietro la maschera,1985,Crime,100
Blastfighter,1984,Action,87
Bliss,1985,Comedy,112
Blood Tracks - Sentieri di sangue,1985,Horror,81
Bloody Wednesday,1988,Crime,96
La maledizione di Janice,1985,Horror,85
Baykot,1986,Drama,114
Brazil,1985,Drama,132
Breakfast Club,1985,Comedy,97
Blue Bell,1985,Comedy,91
Brennende blomster,1985,Drama,84
Chi più spende... più guadagna!,1985,Comedy,102
La sposa promessa,1985,Fantasy,118
Brussels by Night,1983,Drama,90
Buddies,1985,Drama,81
Burke & Wills,1985,Adventure,140
El caballero del dragón,1985,Adventure,90
Matrimonio con vizietto (Il vizietto III),1985,Comedy,87
Uomini cavalli scommesse e truffe,1985,Adventure,101
Il camorrista,1986,Crime,171
Cane arrabbiato,1984,Action,91
Cao inspektore,1985,Comedy,90
Car Trouble,1986,Comedy,93
Gli orsetti del cuore,1985,Animation,77
L'occhio del gatto,1985,Comedy,94
Cavegirl,1985,Comedy,85
Cease Fire,1985,Drama,97
Ore 13: dopo il massacro la caccia,1985,Action,87
L'oggetto del desiderio,1979,Crime,60
The Chain,1984,Comedy,100
Chorus Line,1985,Drama,113
I cavalieri del futuro,1984,Action,86
Ciuleandra,1985,Drama,119
Club Life,1986,Action,93
Signori il delitto è servito,1985,Comedy,94
Coca Cola kid,1985,Comedy,98
Cocoon - L'energia dell'universo,1985,Comedy,117
Nome in codice: Smeraldo,1985,Action,95
Il codice del silenzio,1985,Action,101
Colierul de turcoaze,1986,Action,92
Il colore viola,1985,Drama,154
